Month,PassengerCount
2024-07,36640
2024-06,33832
2024-05,33964
2024-04,33554
2024-03,31742
2024-02,30810
2024-01,32995
2023-12,34500
2023-11,32424
2023-10,33108
2023-09,31067
2023-08,30742
2023-07,32372
2023-06,29579
2023-05,29886
2023-04,27731
2023-03,29249
2023-02,25744
2023-01,28435
2022-12,29245
2022-11,26473
2022-10,27143
2022-09,25167
2022-08,23920
2022-07,25272
2022-06,23160
2022-05,23114
2022-04,19436
2022-03,19133
2022-02,12857
2022-01,17499
2021-12,17207
2021-11,15161
2021-10,13139
2021-09,9510
2021-08,6479
2021-07,5646
2021-06,14313
2021-05,14627
2021-04,14590
2021-03,13995
2021-02,11223
2021-01,11631
2020-12,13262
2020-11,13523
2020-10,11768
2020-09,11295
2020-08,12679
2020-07,12205
2020-06,9272
2020-05,5476
2020-04,5813
2020-03,22949
2020-02,31679
2020-01,33472
2019-12,36710
2019-11,35228
2019-10,35814
2019-09,34615
2019-08,34542
2019-07,38303
2019-06,34261
2019-05,34514
2019-04,35106
2019-03,35068
2019-02,31282
2019-01,34435
